SEQ766 Bacteria;unknown_kingdom;unknown_phylum;unknown_class;unknown_order;unknown_family;undetermined;undetermined 96.901:355:354
SEQ371 Eukaryota;Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Hyphopichia;undetermined 100.000:364:364
SEQ453 Eukaryota;Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;undetermined 100.000:379:379
SEQ369 Eukaryota;Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;undetermined 99.736:379:379
SEQ764 Eukaryota;Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycopsidaceae;Saccharomycopsis;Saccharomycopsis_vini 100.000:385:385
SEQ672 Eukaryota;Fungi;Ascomycota;Sordariomycetes;Sordariales;unknown_family;unknown_genus;Sordariales_sp._MF476 100.000:380:380
SEQ646 Eukaryota;Fungi;Ascomycota;unknown_superfamily;undetermined;undetermined;undetermined;undetermined 100.000:379:379
SEQ599 Eukaryota;Fungi;Basidiomycota;Microbotryomycetes;unknown_order;Chrysozymaceae;undetermined;undetermined 100.000:382:382
SEQ593 Eukaryota;Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;undetermined;undetermined 100.000:380:380
SEQ618 Eukaryota;Fungi;Basidiomycota;undetermined;undetermined;undetermined;undetermined;undetermined 81.383:376:374
SEQ682 Eukaryota;Fungi;Blastocladiomycota;undetermined;undetermined;undetermined;undetermined;undetermined 86.089:381:377
SEQ737 Eukaryota;Fungi;Blastocladiomycota;undetermined;undetermined;undetermined;undetermined;undetermined 86.089:381:377
SEQ461 Eukaryota;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;unknown_family;undetermined;undetermined 92.388:381:378
SEQ822 Eukaryota;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;unknown_family;undetermined;undetermined 93.717:382:380
SEQ630 Eukaryota;Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;unknown_family;unknown_genus;uncultured_Rhizophydiales 99.472:379:379
SEQ584 Eukaryota;Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;unknown_subfamily;undetermined;undetermined 97.889:379:379
SEQ648 Eukaryota;Fungi;Chytridiomycota;Chytridiomycetes;unknown_superfamily;undetermined;undetermined;undetermined 100.000:378:378
SEQ237 Eukaryota;Fungi;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales;Gonapodyaceae;Gonapodya;Gonapodya_polymorpha 97.895:380:380
SEQ744 Eukaryota;Fungi;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales;Gonapodyaceae;Gonapodya;Gonapodya_polymorpha 99.215:382:382
SEQ687 Eukaryota;Fungi;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales;Gonapodyaceae;Gonapodya;Gonapodya_polymorpha 99.476:382:382
SEQ759 Eukaryota;Fungi;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales;Monoblepharidaceae;Monoblepharella;undetermined 99.737:380:380
SEQ161 Eukaryota;Fungi;Cryptomycota;unknown_class;unknown_order;unknown_family;undetermined;undetermined 90.515:369:365
SEQ349 Eukaryota;Fungi;Cryptomycota;unknown_class;unknown_order;unknown_family;undetermined;undetermined 91.036:357:358
SEQ530 Eukaryota;Fungi;Cryptomycota;unknown_class;unknown_order;unknown_family;undetermined;undetermined 96.961:362:362
SEQ102 Eukaryota;Fungi;Cryptomycota;unknown_class;unknown_order;unknown_family;unknown_genus;uncultured_Cryptomycota 100.000:361:361
SEQ760 Eukaryota;Fungi;Cryptomycota;unknown_class;unknown_order;unknown_family;unknown_genus;uncultured_Cryptomycota 100.000:362:362
SEQ626 Eukaryota;Fungi;Cryptomycota;unknown_class;unknown_order;unknown_family;unknown_genus;uncultured_Cryptomycota 98.889:360:360
SEQ770 Eukaryota;Fungi;Mucoromycota;Glomeromycetes;Archaeosporales;Ambisporaceae;unknown_genus;Ambisporaceae_sp. 93.642:346:390
SEQ786 Eukaryota;Fungi;Zoopagomycota;undetermined;undetermined;undetermined;undetermined;undetermined 86.701:391:387
SEQ185 Eukaryota;Fungi;unknown_phylum;undetermined;undetermined;undetermined;undetermined;undetermined 82.028:217:320
SEQ61 Eukaryota;Fungi;unknown_phylum;undetermined;undetermined;undetermined;undetermined;undetermined 82.028:217:320
SEQ709 Eukaryota;Fungi;unknown_phylum;unknown_class;unknown_order;unknown_family;unknown_genus;uncultured_fungus 99.735:378:378
SEQ172 Eukaryota;Metazoa;Annelida;Clitellata;Crassiclitellata;Almidae;Glyphidrilus;undetermined 98.684:380:380
SEQ18 Eukaryota;Metazoa;Annelida;Clitellata;Tubificida;Naididae;Potamothrix;undetermined 100.000:381:381
SEQ389 Eukaryota;Metazoa;Annelida;Clitellata;Tubificida;Naididae;Pristina;undetermined 99.738:381:381
SEQ66 Eukaryota;Metazoa;Annelida;Clitellata;Tubificida;undetermined;undetermined;undetermined 100.000:381:381
SEQ496 Eukaryota;Metazoa;Arthropoda;Arachnida;Opiliones;Phalangiidae;undetermined;undetermined 100.000:380:380
SEQ318 Eukaryota;Metazoa;Arthropoda;Arachnida;Trombidiformes;Unionicolidae;Unionicola;Unionicola_foili 98.408:377:377
SEQ639 Eukaryota;Metazoa;Arthropoda;Arachnida;Trombidiformes;Unionicolidae;Unionicola;Unionicola_sp._1_JH-2021 98.674:377:377
SEQ242 Eukaryota;Metazoa;Arthropoda;Arachnida;Trombidiformes;Unionicolidae;Unionicola;Unionicola_sp._1_JH-2021 98.939:377:377
SEQ154 Eukaryota;Metazoa;Arthropoda;Arachnida;Trombidiformes;Unionicolidae;Unionicola;undetermined 98.143:377:377
SEQ239 Eukaryota;Metazoa;Arthropoda;Arachnida;Trombidiformes;undetermined;undetermined;undetermined 92.932:382:379
SEQ121 Eukaryota;Metazoa;Arthropoda;Hexanauplia;Calanoida;Acartiidae;Acartia;Acartia_tonsa 100.000:373:373
