SEQ653 Bacteria;unknown_kingdom;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;undetermined;undetermined 93.269:312:313
SEQ181 Bacteria;unknown_kingdom;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;undetermined;undetermined 93.590:312:313
SEQ497 Bacteria;unknown_kingdom;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;undetermined;undetermined 93.590:312:313
SEQ184 Bacteria;unknown_kingdom;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;undetermined;undetermined 93.910:312:313
SEQ416 Bacteria;unknown_kingdom;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;undetermined;undetermined 94.231:312:313
SEQ577 Bacteria;unknown_kingdom;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;undetermined;undetermined 94.872:312:313
SEQ1181 Bacteria;unknown_kingdom;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;undetermined;undetermined 95.192:312:313
SEQ320 Bacteria;unknown_kingdom;Proteobacteria;undetermined;undetermined;undetermined;undetermined;undetermined 80.909:220:313
SEQ573 Bacteria;unknown_kingdom;Proteobacteria;undetermined;undetermined;undetermined;undetermined;undetermined 80.909:220:313
SEQ870 Bacteria;unknown_kingdom;Proteobacteria;undetermined;undetermined;undetermined;undetermined;undetermined 84.797:296:313
SEQ1067 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium;Cladosporium_sphaerospermum 99.681:313:313
SEQ639 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium;undetermined 100.000:313:313
SEQ549 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium;undetermined 97.865:281:313
SEQ621 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium;undetermined 98.221:281:313
SEQ586 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium;undetermined 99.361:313:313
SEQ722 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium;undetermined 99.681:313:313
SEQ575 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;undetermined;undetermined 90.096:313:313
SEQ516 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;undetermined;undetermined 92.013:313:313
SEQ673 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;undetermined;undetermined 92.013:313:313
SEQ931 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;undetermined;undetermined 95.208:313:313
SEQ484 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;undetermined;undetermined 96.785:311:313
SEQ915 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;undetermined;undetermined 91.026:312:313
SEQ719 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;undetermined;undetermined 92.332:313:313
SEQ651 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Phoma;Phoma_sp._1_OB-2014 99.681:313:313
SEQ737 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;undetermined;undetermined 90.735:313:313
SEQ539 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;undetermined;undetermined 91.456:316:313
SEQ1169 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;undetermined;undetermined 92.581:310:313
SEQ488 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;undetermined;undetermined 92.332:313:313
SEQ766 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;undetermined;undetermined 95.513:312:313
SEQ313 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;undetermined;undetermined;undetermined 92.949:312:313
SEQ1051 Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;undetermined;undetermined;undetermined 92.971:313:313
SEQ266 Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;Exophiala_lecanii-corni 99.681:313:313
SEQ1122 Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;undetermined;undetermined 90.850:306:313
